time,pressure,temp
0.013452291488647461,998.2997727386742,25.99483293388039
1.0266046524047852,998.0691116339239,27.467132926918566
2.0395820140838623,998.0853664521287,27.821355290943757
3.0525965690612793,998.0649879035958,28.078959416830912
4.065660238265991,998.036287310101,28.299754817271605
5.079190731048584,998.033113372479,28.46074672881514
6.092712879180908,998.0999981913411,28.594137002015486
7.106536388397217,998.091275552034,28.68612869665958
8.11991834640503,997.9963021125659,28.764320611953735
9.133326292037964,998.0586855880274,28.824113793903962
